name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Acapulco,Acapulcoite,1914,1976,16.88333,-99.9,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills 84190,Acapulcoite,7.9,1984,-76.68361,159.33783,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A77081,Acapulcoite,8.6,1977,-76.71667,159.66667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A78230,Acapulcoite,3.87,1977,-76.71667,159.66667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81187,Acapulcoite,40,1981,-76.69278,159.31833,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81261,Acapulcoite,11.8,1981,-76.69111,159.38695,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81315,Acapulcoite,2.5,1981,-76.68861,159.36889,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Asuka 881902,Acapulcoite,907.87,1988,-72,26,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 1222,Acapulcoite,93,2003,18.20417,54.05667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 125,Acapulcoite,2697,2000,18.98667,54.6005,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 290,Acapulcoite,62,2001,19.315,54.84333,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 312,Acapulcoite,354,2001,18.98833,54.605,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
El Médano 096,Acapulcoite,11.1,2011,-24.85,-70.53333,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Frontier Mountain 95029,Acapulcoite,8.3,1995,-72.99133,160.417,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Graves Nunataks 98028,Acapulcoite,22.4,1998,-86.71667,-141.5,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Great Sand Sea 032,Acapulcoite,8.3,2006,26.18667,25.45567,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Grove Mountains 021663,Acapulcoite,2.19,2003,-72.773611,75.339722,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
LaPaz Icefield 031323,Acapulcoite,3.1,2003,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Meteorite Hills 01195,Acapulcoite,98.7,2001,-79.68333,159.75,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Meteorite Hills 01198,Acapulcoite,98.5,2001,-79.68333,159.75,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Meteorite Hills 01212,Acapulcoite,31.4,2001,-79.68333,159.75,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Meteorite Hills 01232,Acapulcoite,7.6,2001,-79.68333,159.75,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Meteorite Hills 01244,Acapulcoite,76.5,2001,-79.68333,159.75,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Miller Range 07582,Acapulcoite,12.4,2007,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Monument Draw,Acapulcoite,524.5,1985,32.50333,-102.74333,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 1052,Acapulcoite,22,2001,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 1054,Acapulcoite,86,2001,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 1617,Acapulcoite,21,1998,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2627,Acapulcoite,68,2004,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2656,Acapulcoite,7500,2003,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2699,Acapulcoite,1294,2005,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2714,Acapulcoite,1656,2004,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2775,Acapulcoite,222,2005,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2866,Acapulcoite,213,2005,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2871,Acapulcoite,3467,2005,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 3008,Acapulcoite,157,2002,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 3305,Acapulcoite,82.1,2006,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 4236,Acapulcoite,24,2003,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 4399,Acapulcoite,210,2005,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 4816,Acapulcoite,63,2006,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 6557,Acapulcoite,68,2010,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 725,Acapulcoite,3824,NA,30.6,-5.05,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 7321,Acapulcoite,109,2012,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 7384,Acapulcoite,125,2010,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Pecora Escarpment 01026,Acapulcoite,29,2002,-85.65205,-68.56933,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Roberts Massif 04228,Acapulcoite,19.8,2004,NA,NA,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Superior Valley 014,Acapulcoite,1.77,2002,35.236,-117.04212,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Thiel Mountains 07012,Acapulcoite,30,2007,-85.165,-94.71883,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Thiel Mountains 99002,Acapulcoite,44.3,2000,-85.1605,-94.57012,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Yabrin 003,Acapulcoite,21.048,2008,23.31522,48.62988,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Yamato 74063,Acapulcoite,35.41,1974,-71.5,35.66667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Yamato 981505,Acapulcoite,56.95,1998,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Yamato 982003,Acapulcoite,19.84,1998,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Yamato 982004,Acapulcoite,6.17,1998,0,0,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Elephant Moraine 84302,Acapulcoite/Lodranite,59.6,1984,-76.27639,157.17611,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Frontier Mountain 93001,Acapulcoite/Lodranite,4.86,1993,-72.95556,160.49139,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Larkman Nunatak 06605,Acapulcoite/Lodranite,34.6,2006,0,0,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Lewis Cliff 86220,Acapulcoite/Lodranite,25,1986,-84.25442,161.34898,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
MacAlpine Hills 041193,Acapulcoite/lodranite,1.3,2004,NA,NA,Acapulcoite/lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Miller Range 07259,Acapulcoite/lodranite,3.5,2007,0,0,Acapulcoite/lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Miller Range 07409,Acapulcoite/Lodranite,2.7,2007,0,0,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 4735,Acapulcoite/Lodranite,64,2003,NA,NA,Acapulcoite/Lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 5782,Acapulcoite/lodranite,130,NA,0,0,Acapulcoite/lodranite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Northwest Africa 2788,Achondrite-prim,1390,2005,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 2825,Achondrite-prim,664,2004,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 2852,Achondrite-prim,398,2004,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 3100,Achondrite-prim,136,2003,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 3133,Achondrite-prim,4193,2004,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 3145,Achondrite-prim,678,2004,NA,NA,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 3250,Achondrite-prim,916,2006,0,0,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 5297,Achondrite-prim,130,2008,0,0,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Northwest Africa 6901,Achondrite-prim,1197,2011,0,0,Achondrite-prim,achondrite,primitive,ungrouped,,,,0,,,,,,
Al Huwaysah 010,Achondrite-ung,1411.8,2010,22.74868,55.47218,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Asuka 881548,Achondrite-ung,110.16,1988,-72,26,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Dar al Gani 962,Achondrite-ung,130,1998,27.198,16.4085,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Dhofar 1441,Achondrite-ung,267.8,2003,18.436,54.48383,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Dhofar 500,Achondrite-ung,116,2000,18.38667,54.20333,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Dhofar 732,Achondrite-ung,17,2002,19.405,54.57833,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Divnoe,Achondrite-ung,12700,1981,45.7,43.7,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Graves Nunataks 06128,Achondrite-ung,447.6,2006,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Graves Nunataks 06129,Achondrite-ung,196.5,2006,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090206,Achondrite-ung,17,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090340,Achondrite-ung,4.7,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090356,Achondrite-ung,3.2,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090405,Achondrite-ung,58.8,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090805,Achondrite-ung,4.9,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Miller Range 090963,Achondrite-ung,2.5,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 011,Achondrite-ung,40,1999,31.33333,-4.33333,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 1058,Achondrite-ung,180,2001,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 1500,Achondrite-ung,3300,2000,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2353,Achondrite-ung,315,2004,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2400,Achondrite-ung,136,2003,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2635,Achondrite-ung,4200,2004,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2907,Achondrite-ung,586,2005,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2968,Achondrite-ung,268,2005,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2976,Achondrite-ung,219,2005,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 2993,Achondrite-ung,625,2006,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4042,Achondrite-ung,56.2,2004,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4284,Achondrite-ung,137,2005,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4518,Achondrite-ung,167,2003,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4587,Achondrite-ung,530,2006,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4741,Achondrite-ung,20,2005,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 4901,Achondrite-ung,24,2007,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 5363,Achondrite-ung,2455,2008,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 5400,Achondrite-ung,4818,2008,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 5548,Achondrite-ung,56,2008,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 5644,Achondrite-ung,200,2008,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6077,Achondrite-ung,1010,2008,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6172,Achondrite-ung,153,2009,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6292,Achondrite-ung,725,2010,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6424,Achondrite-ung,469,2010,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6572,Achondrite-ung,50.2,2010,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6693,Achondrite-ung,5100,2011,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6698,Achondrite-ung,38.4,2010,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6704,Achondrite-ung,8387,NA,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6926,Achondrite-ung,220,2011,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 6962,Achondrite-ung,59.8,2011,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 7129,Achondrite-ung,50,2011,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 7325,Achondrite-ung,345,2012,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 7533,Achondrite-ung,84,2012,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 7680,Achondrite-ung,123.72,2011,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Northwest Africa 7822,Achondrite-ung,45.8,2013,0,0,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Queen Alexandra Range 93148,Achondrite-ung,1.1,1993,-84.57584,162.56681,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Roberts Massif 04239,Achondrite-ung,12,2004,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Roberts Massif 04255,Achondrite-ung,10.2,2004,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Sahara 03500,Achondrite-ung,221.3,2003,NA,NA,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Sayh al Uhaymir 493,Achondrite-ung,134,2009,20.53333,57.3,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Silistra,Achondrite-ung,0.15,1917,44.11667,27.26667,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Yamato 8307,Achondrite-ung,3.37,1983,-71.5,35.66667,Achondrite-ung,achondrite,,ungrouped,,,,0,,,,,,
Angra dos Reis (stone),Angrite,1500,1869,-22.96667,-44.31667,Angrite,achondrite,,angrite,,,,0,,,,,,
Asuka 881371,Angrite,11.27,1988,-72,26,Angrite,achondrite,,angrite,,,,0,,,,,,
D'Orbigny,Angrite,16550,1979,-37.66667,-61.65,Angrite,achondrite,,angrite,,,,0,,,,,,
Lewis Cliff 86010,Angrite,6.9,1986,-84.23589,161.5352,Angrite,achondrite,,angrite,,,,0,,,,,,
Lewis Cliff 87051,Angrite,0.6,1987,-84.348,161.4824,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 1296,Angrite,810,2001,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 1670,Angrite,29,2003,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 2999,Angrite,392,2004,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 3158,Angrite,681,2004,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 3164,Angrite,928,2004,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4569,Angrite,484,2005,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4590,Angrite,212.8,2006,30.31708,-4.94288,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4662,Angrite,60,2006,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4801,Angrite,252,2007,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4877,Angrite,1000,2007,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 4931,Angrite,2140,2007,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 5167,Angrite,859,2007,0,0,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 6291,Angrite,250,2010,0,0,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 7203,Angrite,107,2011,0,0,Angrite,achondrite,,angrite,,,,0,,,,,,
Northwest Africa 7812,Angrite,46.2,2013,0,0,Angrite,achondrite,,angrite,,,,0,,,,,,
Sahara 99555,Angrite,2710,1999,NA,NA,Angrite,achondrite,,angrite,,,,0,,,,,,
Al Haggounia 001,Aubrite,3.00E+06,2006,27.5,-12.5,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 83009,Aubrite,1.7,1983,-76.82204,158.20666,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 83015,Aubrite,3.1,1983,-76.82221,158.21305,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84007,Aubrite,705.6,1984,-76.87783,158.50193,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84008,Aubrite,301.6,1984,-76.88238,158.57931,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84009,Aubrite,335.6,1984,-76.86569,158.52417,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84010,Aubrite,303,1984,-76.88572,158.61378,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84011,Aubrite,138.2,1984,-76.87851,158.61831,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84012,Aubrite,224.7,1984,-76.88304,158.53214,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84013,Aubrite,159.9,1984,-76.8982,158.59203,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84014,Aubrite,49.4,1984,-76.88435,158.67508,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84015,Aubrite,263.9,1984,-76.88495,158.60279,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84016,Aubrite,149.7,1984,-76.88429,158.58777,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84017,Aubrite,79.8,1984,-76.88322,158.662,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84018,Aubrite,81.7,1984,-76.86224,158.51818,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84019,Aubrite,93.2,1984,-76.84714,158.50969,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84020,Aubrite,191.1,1984,-76.86997,158.53785,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84021,Aubrite,35.7,1984,-76.85453,158.50622,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84022,Aubrite,12.5,1984,-76.77022,158.80784,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84023,Aubrite,262.4,1984,-76.89846,158.58451,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills 84024,Aubrite,194.4,1984,-76.872,158.54311,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Allan Hills A78113,Aubrite,298.6,1978,-76.71667,159.66667,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Aubres,Aubrite,800,1836,44.38333,5.16667,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Bishopville,Aubrite,6000,1843,34.16667,-80.28333,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Bustee,Aubrite,1500,1852,26.78333,82.83333,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Cumberland Falls,Aubrite,17000,1919,36.83333,-84.35,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Elephant Moraine 90033,Aubrite,3.9,1990,-76.2861,156.44289,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Elephant Moraine 90757,Aubrite,3.7,1990,-76.28575,156.49583,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Khor Temiki,Aubrite,3200,1932,16,36,Aubrite,achondrite,,aubrite,,,,0,,,,,,
LaPaz Icefield 02233,Aubrite,18.1,2002,-86.36667,-70,Aubrite,achondrite,,aubrite,,,,0,,,,,,
LaPaz Icefield 031269,Aubrite,12.93,2003,-86.36667,-70,Aubrite,achondrite,,aubrite,,,,0,,,,,,
LaPaz Icefield 031372,Aubrite,17.61,2003,-86.36667,-70,Aubrite,achondrite,,aubrite,,,,0,,,,,,
LaPaz Icefield 03780,Aubrite,21.81,2003,-86.36667,-70,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Larkman Nunatak 04316,Aubrite,1163,2003,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87007,Aubrite,3.2,1987,-84.34449,161.47054,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87011,Aubrite,1,1987,-84.34415,161.46675,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87013,Aubrite,0.2,1987,-84.34415,161.46674,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87017,Aubrite,1.3,1987,-84.34415,161.46676,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87018,Aubrite,1.2,1987,-84.34665,161.48015,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87019,Aubrite,0.5,1987,-84.34738,161.48221,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87020,Aubrite,1.9,1987,-84.34492,161.47161,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87021,Aubrite,0.5,1987,-84.34472,161.47056,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87056,Aubrite,0.1,1987,-84.34532,161.47809,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Lewis Cliff 87294,Aubrite,3.9,1987,-84.34467,161.47061,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Mayo Belwa,Aubrite,4850,1974,8.96667,12.08333,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Miller Range 07008,Aubrite,31.9,2007,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 2736,Aubrite,171.5,2004,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 2828,Aubrite,8672,2005,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 4537,Aubrite,261,2005,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 4799,Aubrite,365,2007,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 4832,Aubrite,268,2006,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 4871,Aubrite,906,2006,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 5217,Aubrite,39.1,2007,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 5419,Aubrite,380,2007,NA,NA,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 6193,Aubrite,68,2009,0,0,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 6350,Aubrite,50.5,2010,0,0,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 6675,Aubrite,510,2010,0,0,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Northwest Africa 7214,Aubrite,2200,2010,0,0,Aubrite,achondrite,,aubrite,,,,0,,,,,,
Norton County,Aubrite,1100000,1948,39.68333,-99.86667,Aubrite,achondrite,,aubrite,,,,0,,,,,,
