name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Northwest Africa 519,L6,484,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5253,L6,90,2005,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5288,L6,360,2002,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5290,L6,716,NA,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5303,L6,19.9,2007,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5324,L6,250,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5330,L6,300,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5395,L6,123,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5398,L6,269.9,2005,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5412,L6,476.4,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5418,L6,12800,2006,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5424,L6,579,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5458,L6,5200,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5463,L6,67.1,2007,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5465,L6,1357,2006,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5486,L6,142,2008,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5553,L6,60.9,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5562,L6,70,2004,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5564,L6,91,2004,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5566,L6,200,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5570,L6,32,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5571,L6,36,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5573,L6,42,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5592,L6,172.4,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5593,L6,352.8,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5594,L6,1160,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5680,L6,97,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5682,L6,372,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5683,L6,59,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5727,L6,336,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5848,L6,45.6,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5849,L6,3230,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5850,L6,1267,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5851,L6,13.3,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5852,L6,293,NA,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5853,L6,74.5,NA,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5854,L6,73.7,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5855,L6,309,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5856,L6,416,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5857,L6,156,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5858,L6,40.5,2007,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5859,L6,802,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5860,L6,555,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5861,L6,1965,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5862,L6,6.9,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5863,L6,7.5,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5864,L6,353,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5865,L6,309,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5866,L6,380,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5867,L6,74.1,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5868,L6,8000,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5869,L6,157,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5870,L6,65,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5871,L6,290,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 5962,L6,3400,2004,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6096,L6,275,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6117,L6,1750,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6118,L6,710,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6127,L6,350,2005,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6131,L6,3178.5,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6139,L6,212.8,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6140,L6,5102.4,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6142,L6,238.7,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6160,L6,333,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6298,L6,233,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6303,L6,594,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6320,L6,453,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6323,L6,172.4,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6324,L6,654,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6327,L6,222.4,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6329,L6,70.8,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6333,L6,610,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6335,L6,839.1,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6337,L6,156.7,2002,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6409,L6,11800,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
