x,,,,,,,,label,label-2,group,petrologic type,family,brecciac,chemical group,anomalous,petrologic class,metamorphic grade
68,ordinary chondrite from either the L group or LL group that is petrologic type 5,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70, carbonaceous chondrite of the CB group of subtype a (contains large chondrule-like objects),,,,,,,chondrite,carbonaceous,CB,,,,,,,
71,ordinary chondrite from the H group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,H,4 to 5,,,,,,
72,ordinary chondrite from the H group that is either petrologic type 3 or type 4,,,,,,,chondrite,ordinary,H,3 to 4,,,,,,
73,,,,,,,,,,,,,,,,,
74,ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,chondrite,ordinary,H,3 to 6,,1,,,,
75,,,,,,,,,,,,,,,,,
76,"iron meteorite belonging to the high-Au, low-Ni subgroup (sHL) of the IAB complex",,,,,,,iron,,,,,,IAB,,,
77,,,,,,,,,,,,,,,,,
78,enstatite chondrite of the EH group that is petrologic type 7 and has anomalous properties,,,,,,,chondrite,enstatite,,,,,,,,
79,iron meteorite that has not been fully classified,,,,,,,iron,,,,,,,,,
80, carbonaceous chondrite of the CR group that is petrologic type 2,,,,,,,chondrite,carbonaceous,CR,2,,,,,,
81,,,,,,,,,,,,,,,,,
82, Kakangari chondrite of petrologic type 3,,,,,,,chondrite,kakangari,,3,,,,,,
83,ordinary chondrite from the L group that is either petrologic type 5 or type 6,,,,,,,chondrite,ordinary,L,5 or 6,,,,,,
84, carbonaceous chondrite of the CK group of petrologic type 4,,,,,,,chondrite,carbonaceous,CK,4,,,,,,
85,iron meteorite belonging to chemical group IIE with anomalous properties,,,,,,,iron,,,,,,IIE,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89, primitive achondrite belonging to the acapulcoite-lodranite family,,,,,,,achondrite,primitive,,,acapulcoite-lodranite,,,,,
90, mesosiderite of petrologic class A and metamorphic grade 3,,,,,,,mesosiderite,,,,,,,,A,3
91,ordinary chondrite from the L group that is a breccia of type 3 and type 4 components,,,,,,,chondrite,ordinary,L,3 to 4,,1,,,,
92,ordinary chondrite from the H group that is either petrologic type 5 or type 6,,,,,,,chondrite,ordinary,H,5 to 6,,,,,,
93, pallasite belonging to the main chemical group,,,,,,,pallasite,,,,,,main,,,
94,achondrite from the eucrite group; the meteorite is a cumulate eucrite,,,,,,,achondrite,eucrite,,,,,,,,
95, pallasite that has not been assigned to a chemical group,,,,,,,pallasite,,,,,,,,,
96,ordinary chondrite from the L group that is a breccia of type 5 and type 6 components,,,,,,,chondrite,ordinary,L,5 to 6,,1,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
100, carbonaceous chondrite of petrologic type 3 that is ungrouped,,,,,,,chondrite,carbonaceous,,3,,,,,,
101,ordinary chondrite from the H group that is a breccia of type 3 and type 4 components,,,,,,,chondrite,carbonaceous,H,3 to 4,,1,,,,
102,,,,,,,,,,,,,,,,,
103,enstatite chondrite of the EH group that is petrologic type 3,,,,,,,chondrite,enstatite,EH,3,,,,,,
104,iron meteorite belonging to the IAB complex that does not fit into the known subgroups,,,,,,,iron,,,,,,IAB,,,
105, primitive achondrite belonging to the winonaite group,,,,,,,achondrite,primitive,winonaite,,,,,,,
106,ordinary chondrite from the LL group for which the petrologic type has not been determined,,,,,,,chondrite,ordinary,LL,,,,,,,
107,achondrite from the eucrite group; the meteorite is brecciated,,,,,,,achondrite,eucrite,,,,1,,,,
108,iron meteorite belonging to chemical group IIF,,,,,,,iron,,,,,,IIF,,,
109,,,,,,,,,,,,,,,,,
110,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 4 to type 6,,,,,,,chondrite,ordinary,L,4 to 6,,1,,,,
111,enstatite chondrite of the EH group that is petrologic type 5,,,,,,,chondrite,enstatite,EH,5,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,achondrite that is ungrouped,,,,,,,achondrite,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,iron meteorite belonging to chemical group IIIAB with anomalous properties,,,,,,,iron,,,,,,IIIAB,1,,
120,ordinary chondrite from the LL group that is petrologic type 7,,,,,,,chondrite,ordinary,LL,7,,,,,,
121, mesosiderite of petrologic class B and metamorphic grade 2,,,,,,,mesosiderite,,,,,,,,B,2
122,ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 4 to type 6,,,,,,,chondrite,ordinary,LL,4 to 6,,1,,,,
123,,,,,,,,,,,,,,,,,
124,ordinary chondrite from either the L group or LL group that is petrologic type 6 with anomalous properties,,,,,,,chondrite,ordinary,L,6,,,,1,,
125,iron meteorite belonging to the IAB complex that has not been classified into a subgroup,,,,,,,iron,,,,,,IAB,,,
126," pallasite belonging to the main chemical group, but with anomalous properties",,,,,,,pallasite,,,,,,MAIN,1,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,ordinary chondrite from the LL group that is a breccia of type 5 and type 6 components,,,,,,,chondrite,ordinary,,5 to 6,,1,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,ordinary chondrite from the L group that is a breccia of type 4 and type 5 components,,,,,,,chondrite,ordinary,,4 to 5,,,,,,
133,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 3 to type 5,,,,,,,chondrite,ordinary,,3 to 5,,,,,,
134,ordinary chondrite from the LL group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,LL,4 to 5,,,,,,
135,ordinary chondrite from the L group that is either petrologic type 4 or type 5,,,,,,,chondrite,ordinary,L,4 to 5,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141, carbonaceous chondrite of the CH group of petrologic type 3,,,,,,,chondrite,carbonaceous,CH,3,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,enstatite chondrite of petrologic type 4 that has not yet been classified into any group,,,,,,,,,,,,,,,,
145, carbonaceous chondrite of the CO group that is petrologic type 3,,,,,,,,,,,,,,,,
146,ungrouped chondrite that has not or can not be assigned to one of the major classes like carbonaceous chondrites or ordinary chondrites,,,,,,,,,,,,,,,,
147,ordinary chondrite from the H group that is approximately petrologic type 5,,,,,,,,,,,,,,,,
148,ordinary chondrite from the H group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,enstatite chondrite of the EL group that is petrologic type 5,,,,,,,,,,,,,,,,
151,ordinary chondrite from the LL group that is petrologic type 3,,,,,,,,,,,,,,,,
152,ordinary chondrite from the L group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
153,ordinary chondrite from the L group that is approximately petrologic type 3,,,,,,,,,,,,,,,,
154,ordinary chondrite from the H group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,iron meteorite belonging to chemical group IIIE with anomalous properties,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160, carbonaceous chondrite of the CM group that is either petrologic type 1 or type 2,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162, primitive achondrite belonging to the brachinite group,,,,,,,,,,,,,,,,
163,n ordinary chondrite from the LL group that is possibly petrologic type 7,,,,,,,,,,,,,,,,
164,n ordinary chondrite from the LL group that is possibly petrologic type 6,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,enstatite chondrite of the EL group that is petrologic type 3,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170, carbonaceous chondrite of the CM group that is petrologic type 1,,,,,,,,,,,,,,,,
171,ordinary chondrite from either the L group or LL group that is petrologic type 3,,,,,,,,,,,,,,,,
172,ordinary chondrite from the H group that is petrologic type 7,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176, mesosiderite of petrologic class B and metamorphic grade 1,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,achondrite from the eucrite group; the meteorite is unbrecciated,,,,,,,,,,,,,,,,
182, carbonaceous chondrite of the CV group that is anomalous and of petrologic type 3,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,"iron meteorite belonging to the low-Au, medium-Ni subgroup (sLM) of the IAB complex",,,,,,,,,,,,,,,,
186, lunar meteorite,,,,,,,,,,,,,,,,
187,iron meteorite belonging to chemical group IC,,,,,,,,,,,,,,,,
188,iron meteorite belonging to chemical group IID with anomalous properties,,,,,,,,,,,,,,,,
189,iron meteorite belonging to chemical group IIIE,,,,,,,,,,,,,,,,
190,iron meteorite belonging to chemical group IVA with anomalous properties,,,,,,,,,,,,,,,,
191, carbonaceous chondrite of the CK group that is anomalous and petrologic type 6,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193, carbonaceous chondrite of the CK group that is anomalous and petrologic type 5,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,enstatite chondrite of petrologic type 6 that has not yet been classified into any group,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,
201, carbonaceous chondrite of petrologic type 6 that has not yet been classified into any group,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
204,R chondrite that is petrologic type 4,,,,,,,,,,,,,,,,
205, carbonaceous chondrite of petrologic type 4 that has not yet been classified into any group,,,,,,,,,,,,,,,,
206,iron meteorite belonging to chemical group IIG,,,,,,,,,,,,,,,,
207,iron meteorite belonging to chemical group IIC,,,,,,,,,,,,,,,,
208, carbonaceous chondrite of petrologic type 1 that is ungrouped,,,,,,,,,,,,,,,,
209,ordinary chondrite from the H group that is petrologic type 5 and has anomalous properties,,,,,,,,,,,,,,,,
210,enstatite chondrite of the EH group that is either petrologic type 4 or type 5 ,,,,,,,,,,,,,,,,
211,iron meteorite belonging to chemical group IIIF,,,,,,,,,,,,,,,,
212,R chondrite that is a breccia of components ranging from petrologic type 3 to type 6,,,,,,,,,,,,,,,,
213, mesosiderite of petrologic class B and metamorphic grade 4,,,,,,,,,,,,,,,,
214,ordinary chondrite from the L group that is either petrologic type 6 or type 7,,,,,,,,,,,,,,,,
215, relict meteorite that originated as an H group ordinary chondrite,,,,,,,,,,,,,,,,
216,ordinary chondrite from the L group that has experienced impact melting,,,,,,,,,,,,,,,,
217, carbonaceous chondrite of the CK group of petrologic type 3,,,,,,,,,,,,,,,,
218,ordinary chondrite from the H group that is petrologic type 3 and has anomalous properties,,,,,,,,,,,,,,,,
219,iron meteorite belonging to chemical group IVB,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,
221,ordinary chondrite from the L group that is approximately petrologic type 5,,,,,,,,,,,,,,,,
222, mesosiderite with anomalous properties,,,,,,,,,,,,,,,,
223, mesosiderite of petrologic class A and metamorphic grade 2,,,,,,,,,,,,,,,,
224, pallasite belonging to the Eagle Station chemical group,,,,,,,,,,,,,,,,
225, carbonaceous chondrite of petrologic type 4 that is ungrouped,,,,,,,,,,,,,,,,
226,n iron meteorite that may belong to the IAB complex,,,,,,,,,,,,,,,,
227, mesosiderite of petrologic class A,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,
230,achondrite belonging to the ureilite group which is a polymict breccia,,,,,,,,,,,,,,,,
231,ordinary chondrite from the LL group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
232, carbonaceous chondrite of the CK group that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
233,enstatite chondrite of the EL group that is petrologic type 4,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,
236,ordinary chondrite from the H group which has anomalous properties and for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
237,ordinary chondrite from either the L group or LL group that is a breccia of components ranging from type 3 to type 6,,,,,,,,,,,,,,,,
238,ordinary chondrite from either the L group or LL group that is a breccia of components ranging from type 3 to type 5,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,
240,ordinary chondrite from either the H group or L group that is petrologic type 3,,,,,,,,,,,,,,,,
241,R chondrite that is a breccia of type 3 and type 4 components,,,,,,,,,,,,,,,,
242, carbonaceous chondrite of the CK group that is anomalous and petrologic type 3,,,,,,,,,,,,,,,,
243,ordinary chondrite from the LL group that is a breccia of type 4 and type 5 components,,,,,,,,,,,,,,,,
244,ordinary chondrite from either the H group or L group that is petrologic type 6,,,,,,,,,,,,,,,,
245,ordinary chondrite from the L group that is either petrologic type 3 or type 4,,,,,,,,,,,,,,,,
246,ordinary chondrite from the H group that has experienced impact melting,,,,,,,,,,,,,,,,
247, carbonaceous chondrite of the CR group for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
248, piece of fusion crust that became detached from a chondrite,,,,,,,,,,,,,,,,
249,"iron meteorite belonging to the low-Au, high-Ni subgroup (sLH) of the IAB complex",,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,
253,R chondrite that is petrologic type 3,,,,,,,,,,,,,,,,
254,ordinary chondrite from the L group that is petrologic type 7,,,,,,,,,,,,,,,,
255, carbonaceous chondrite of the CM group that is anomalous and for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
256,ordinary chondrite from either the L group or LL group that is approximately petrologic type 6,,,,,,,,,,,,,,,,
257,ordinary chondrite from either the L group or LL group that is approximately petrologic type 5,,,,,,,,,,,,,,,,
258,ordinary chondrite from the L group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
259,ordinary chondrite from either the L group or LL group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,
262,ordinary chondrite from the L group that is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
