x,,,,,,,,label,label-2,group,petrologic type,family,brecciac,chemical group,anomalous,petrologic class,metamorphic grade
362, carbonaceous chondrite of the CK group for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,
364,R chondrite that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,
366, mesosiderite of petrologic class C,,,,,,,,,,,,,,,,
367,enstatite-rich achondrite that has not yet been classified into a group,,,,,,,,,,,,,,,,
368,ordinary chondrite from either the H group or L group that is a breccia of type 3 and type 4 components,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,
371,"ordinary chondrite, not yet assigned to a group, that is petrologic type 3",,,,,,,,,,,,,,,,
372,ordinary chondrite from the LL group that is either petrologic type 6 or type 7,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,
376,ordinary chondrite from the LL group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
377,ordinary chondrite from the LL group that is approximately petrologic type 4 or type 5,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,
381, meteorite of unspecified parentage that contains clasts supported by a matrix of impact melt,,,,,,,,,,,,,,,,
382,ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 3 to type 5,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,
384, martian meteorite,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,
387, primitive achondrite that has not yet been classified into any group,,,,,,,,,,,,,,,,
388,ordinary chondrite from the LL group that is a breccia of type 3 and type 4 components,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,
390, carbonaceous chondrite of the CK group that is either petrologic type type 3 or type 4,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,
392,ordinary chondrite from either the L group or LL group that has experienced secondary melting,,,,,,,,,,,,,,,,
393,ordinary chondrite from the H group that is either petrologic type 6 or type 7,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,
395,"iron meteorite belonging to the high-Au, low-Ni subgroup (sHL) of the IAB complex, but with anomalous properties",,,,,,,,,,,,,,,,
396, carbonaceous chondrite of the CM group that is petrologic type 2 and anomalous,,,,,,,,,,,,,,,,
397,R chondrite that is a breccia of components ranging from petrologic type 3 to type 5,,,,,,,,,,,,,,,,
398,ordinary chondrite from the L group that is petrologic type 4 and has experienced secondary melting,,,,,,,,,,,,,,,,
399,ordinary chondrite from the L group that is petrologic type 6 and has experienced secondary melting,,,,,,,,,,,,,,,,
400,ordinary chondrite from either the H group or L group that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
401,enstatite chondrite of the EL group that is either petrologic type 3 or type 4,,,,,,,,,,,,,,,,
402,ordinary chondrite from either the H group or L group that is petrologic type 6 and has experienced secondary melting,,,,,,,,,,,,,,,,
403,enstatite-rich achondrite that is ungrouped,,,,,,,,,,,,,,,,
404,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 3 to type 7,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,
407,"ordinary chondrite from the LL group that is either petrologic type 4, type 5, or type 6",,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,
411,ordinary chondrite from the LL group that is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
412,ordinary chondrite from the LL group that is petrologic type 6 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
413,ordinary chondrite from the L group that is petrologic type 5 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,
415,ordinary chondrite from the LL group that is petrologic type 6 with anomalous properties,,,,,,,,,,,,,,,,
416,ordinary chondrite from the L group that is petrologic type 4 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
417,"achondrite from the howardite group, which has anomalous properties",,,,,,,,,,,,,,,,
418,ordinary chondrite from the H group that is petrologic type 4 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,
420,ordinary chondrite from the L group that is petrologic type 3 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
421,ordinary chondrite from the L group that is a breccia of components ranging from approximately petrologic type 4 to type 6,,,,,,,,,,,,,,,,
422,ordinary chondrite from the LL group that is approximately petrologic type 5,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,
424, carbonaceous chondrite of the CR group that is petrologic type 7,,,,,,,,,,,,,,,,
425,ordinary chondrite from the H group that is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,
429,ordinary chondrite from either the L group or LL group that is a breccia of type 4 through type 6 components,,,,,,,,,,,,,,,,
430, carbonaceous chondrite of the CM group,,,,,,,,,,,,,,,,
431,enstatite chondrite of the EH group that is petrologic type 7,,,,,,,,,,,,,,,,
432,ordinary chondrite from the L group that is petrologic type 4 and has anomalous properties,,,,,,,,,,,,,,,,
433,enstatite chondrite that has not yet been classified and which has anomalous properties,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,
442,n iron meteorite that may belong to chemical group IIE,,,,,,,,,,,,,,,,
443, carbonaceous chondrite that is either petrologic type 3 or type 4 and is ungrouped,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,
446,ordinary chondrite from either the H group or L group that is a breccia of type 4 and type 5 components,,,,,,,,,,,,,,,,
447,ordinary chondrite from the LL group that is approximately petrologic type 3,,,,,,,,,,,,,,,,
448, possible pallasite,,,,,,,,,,,,,,,,
449,ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 5 to type 7,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,
452, carbonaceous chondrite of the CR group that is anomalous and for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
453,ordinary chondrite from either the L group or LL group that is a breccia of type 5 and type 6 components,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,
457,enstatite chondrite of petrologic type 5 that has not yet been classified into any group,,,,,,,,,,,,,,,,
458, primitive achondrite belonging to the acapulcoite-lodranite family with anomalous properties ,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,
461,enstatite chondrite of petrologic type 5 with anomalous properties that has not yet been classified into any group,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,
463,enstatite chondrite of the EH group that is petrologic type 6 and has anomalous properties,,,,,,,,,,,,,,,,
464, stony meteorite that is ungrouped,,,,,,,,,,,,,,,,
465, carbonaceous chondrite transitional between petrologic type 1 and type 2 that is ungrouped,,,,,,,,,,,,,,,,
466,ordinary chondrite from either the L group or LL group for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
